index,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
940,50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,7076511000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,3,This hospitals star rating only includes data reported on inpatient services,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"975 SERENO DR
VALLEJO, CA 94589
(38.128437, -122.247586)"
941,100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,SARASOTA,FL,34233,SARASOTA,9413421100,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Above the National average,,Same as the National average,,"5731 BEE RIDGE RD
SARASOTA, FL 34233
(27.298975, -82.454848)"
942,50396,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,SANTA BARBARA,CA,93102,SANTA BARBARA,8056827111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,5,,Same as the National average,,Above the National average,,Above the National average,,Above the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"400 WEST PUEBLO
SANTA BARBARA, CA 93102
(34.429483, -119.723077)"
943,50397,COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVENUE,COALINGA,CA,93210,FRESNO,5599356400,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"1191 PHELPS AVENUE
COALINGA, CA 93210
(36.151513, -120.34143)"
944,70039,MASONICARE HEALTH CENTER,22 MASONIC AVE,WALLINGFORD,CT,6492,NEW HAVEN,2036795900,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"22 MASONIC AVE
WALLINGFORD, CT 06492
(41.459676, -72.83731)"
945,21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,,3,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"3100 TONGASS AVENUE
KETCHIKAN, AK 99901
(55.352974, -131.686966)"
946,50090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,7079355000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,4,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"347 ANDRIEUX ST
SONOMA, CA 95476
(38.288469, -122.46494)"
947,41320,LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET,ASHDOWN,AR,71822,LITTLE RIVER,8708985011,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"451 WEST LOCKE STREET
ASHDOWN, AR 71822
(33.669572, -94.135025)"
948,100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,NAPLES,FL,34119,COLLIER,2393484000,Acute Care Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"6101 PINE RIDGE ROAD
NAPLES, FL 34119
(26.211743, -81.732356)"
949,50557,MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA,95355,STANISLAUS,2095264500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Above the National average,,Below the National average,,Above the National average,,"1700 COFFEE RD
MODESTO, CA 95355
(37.668701, -120.975674)"
950,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Below the National average,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Below the National average,,"1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.426109, -87.683187)"
951,40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR,71801,HEMPSTEAD,8707223800,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"2001 SOUTH MAIN
HOPE, AR 71801
(33.647678, -93.587058)"
952,70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL RD,STAFFORD SPRINGS,CT,6076,TOLLAND,8606844251,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"201 CHESTNUT HILL RD
STAFFORD SPRINGS, CT 06076
(41.977367, -72.389971)"
953,100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,7800 US HWY 98 W,MIRAMAR BEACH,FL,32550,WALTON,8502783600,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"7800 US HWY 98 W
MIRAMAR BEACH, FL 32550
(30.376925, -86.307354)"
954,100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,SARASOTA,9419179000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,5,,Above the National average,,Above the National average,,Above the National average,,Above the National average,,Above the National average,,Below the National average,,Same as the National average,,"1700 S TAMIAMI TRL
SARASOTA, FL 34239
(27.318268, -82.529687)"
955,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,2,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Above the National average,,Below the National average,,"1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127105, -87.072378)"
956,30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,4808545050,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,5,,Above the National average,,Above the National average,,Above the National average,,Above the National average,,Below the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"6750 EAST BAYWOOD AVENUE
MESA, AZ 85206
(33.410429, -111.686221)"
957,60124,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,11650 W 2ND PLACE,LAKEWOOD,CO,80228,JEFFERSON,7203215000,Acute Care Hospitals,Proprietary,TRUE,,4,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Above the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"11650 W 2ND PLACE
LAKEWOOD, CO 80228
(39.717952, -105.128441)"
958,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.692595, -86.266156)"
959,33302,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,MARICOPA,6029331000,Childrens,Voluntary non-profit - Private,FALSE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1919 EAST THOMAS ROAD
PHOENIX, AZ 85016
(33.480216, -112.041193)"
960,41309,LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN,WALNUT RIDGE,AR,72476,LAWRENCE,8708861200,Critical Access Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1309 WEST MAIN
WALNUT RIDGE, AR 72476
(36.074766, -90.968734)"
961,50575,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 S PIONEER BLVD,HAWAIIAN GARDENS,CA,90716,LOS ANGELES,5628600401,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Above the National average,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Below the National average,,Not Available,Results are not available for this reporting period,"21530 S PIONEER BLVD
HAWAIIAN GARDENS, CA 90716
(33.833054, -118.081791)"
962,10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,5,,Same as the National average,,Not Available,Results are not available for this reporting period,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.126444, -87.989825)"
963,50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,147 N BRENT ST,VENTURA,CA,93003,VENTURA,8056525011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Below the National average,,Below the National average,,Below the National average,,"147 N BRENT ST
VENTURA, CA 93003
(34.274184, -119.257238)"
964,30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,4807283000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Above the National average,,Below the National average,,Above the National average,,Below the National average,,Above the National average,,Same as the National average,,Above the National average,,"1955 WEST FRYE ROAD
CHANDLER, AZ 85224
(33.298635, -111.875109)"
965,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,"820 W WASHINGTON ST
EUFAULA, AL 36027
(31.88798, -85.156613)"
966,50471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,LOS ANGELES,2139772121,Acute Care Hospitals,Proprietary,TRUE,,3,,Above the National average,,Above the National average,,Same as the National average,,Below the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"1225 WILSHIRE BOULEVARD
LOS ANGELES, CA 90017
(34.053209, -118.265292)"
967,53311,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF,2425 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,9164532000,Childrens,Voluntary non-profit - Private,FALSE,,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"2425 STOCKTON BOULEVARD
SACRAMENTO, CA 95817
(38.552993, -121.456269)"
968,100322,REGIONAL GENERAL HOSPITAL WILLISTON,125 SW 7TH ST,WILLISTON,FL,32696,LEVY,3525282801,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the National average,,Below the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"125 SW 7TH ST
WILLISTON, FL 32696
(29.384354, -82.455793)"
969,100134,ED FRASER MEMORIAL HOSPITAL,159 N 3RD ST,MACCLENNY,FL,32063,BAKER,9042593151,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"159 N 3RD ST
MACCLENNY, FL 32063
(30.28555, -82.11955)"
970,61300,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER STREET,EADS,CO,81036,KIOWA,7194385401,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1208 LUTHER STREET
EADS, CO 81036
(38.480137, -102.784469)"
971,50243,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,7603236511,Acute Care Hospitals,Proprietary,TRUE,,1,,Below the National average,,Below the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,"1150 NORTH INDIAN CANYON DRIVE
PALM SPRINGS, CA 92262
(33.838236, -116.545597)"
972,100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,33317,BROWARD,9545875010,Acute Care Hospitals,Proprietary,TRUE,,3,,Above the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Above the National average,,Same as the National average,,"401 NW 42ND AVE
PLANTATION, FL 33317
(26.126508, -80.204176)"
973,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Above the National average,,Above the National average,,Below the National average,,Above the National average,,Below the National average,,Below the National average,,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.253679, -86.814261)"
974,60096,VAIL VALLEY MEDICAL CENTER,181 W MEADOW DRIVE,VAIL,CO,81657,EAGLE,9704762451,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Same as the National average,,"181 W MEADOW DRIVE
VAIL, CO 81657
(39.642949, -106.382866)"
975,140100,MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,60099,LAKE,8478724561,Acute Care Hospitals,Proprietary,TRUE,,4,,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Above the National average,,Same as the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"2520 ELISHA AVENUE
ZION, IL 60099
(42.44897, -87.82684)"
976,100099,LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,33853,POLK,8636761433,Acute Care Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Below the National average,,Same as the National average,,"410 S 11TH ST
LAKE WALES, FL 33853
(27.896327, -81.564668)"
977,100179,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,DUVAL,9043996111,Acute Care Hospitals,Proprietary,TRUE,,3,,Above the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,"3625 UNIVERSITY BLVD S
JACKSONVILLE, FL 32216
(30.287633, -81.602405)"
978,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,"201 WEST AVALON AVENUE
MUSCLE SHOALS, AL 35661
(34.744941, -87.676511)"
979,50570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,17100 EUCLID STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,7149667200,Acute Care Hospitals,Proprietary,TRUE,,4,,Above the National average,,Above the National average,,Above the National average,,Below the National average,,Same as the National average,,Below the National average,,Same as the National average,,"17100 EUCLID STREET
FOUNTAIN VALLEY, CA 92708
(33.714599, -117.937009)"
980,50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,LOS ANGELES,9098659500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Above the National average,,Below the National average,,Same as the National average,,"1798 N GAREY AVE
POMONA, CA 91767
(34.077639, -117.752329)"
981,100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,32610,ALACHUA,3522658000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Below the National average,,Same as the National average,,"1600 SW ARCHER RD
GAINESVILLE, FL 32610
(29.639223, -82.343325)"
982,50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,2,,Same as the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Below the National average,,Not Available,Results are not available for this reporting period,"28400 MCCALL B0ULEVARD
SUN CITY, CA 92585
(33.718627, -117.169346)"
983,60118,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DRIVE,FRISCO,CO,80443,SUMMIT,9706683300,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,,4,,Not Available,Results are not available for this reporting period,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"340 PEAK ONE DRIVE
FRISCO, CO 80443
(39.569988, -106.078259)"
984,50609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,3440 E LA PALMA AVE,ANAHEIM,CA,92806,ORANGE,7142794000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Above the National average,,Above the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"3440 E LA PALMA AVE
ANAHEIM, CA 92806
(33.854441, -117.84411)"
985,50781,SONOMA WEST MEDICAL CENTER,501 PETALUMA AVENUE,SEBASTOPOL,CA,95472,SONOMA,7078238511,Acute Care Hospitals,Government - Local,TRUE,,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"501 PETALUMA AVENUE
SEBASTOPOL, CA 95472
(38.39714, -122.820438)"
986,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,TRUE,,4,,Below the National average,,Above the National average,,Above the National average,,Above the National average,,Above the National average,,Above the National average,,Same as the National average,,"4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235991, -85.457937)"
987,40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,4794635113,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3,,Below the National average,,Above the National average,,Above the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,"3215 N NORTH HILLS BOULEVARD
FAYETTEVILLE, AR 72703
(36.110984, -94.157862)"
988,103300,"ALL CHILDREN'S HOSPITAL, INC",501 SIXTH AVENUE SOUTH,SAINT PETERSBURG,FL,33701,PINELLAS,8138987451,Childrens,Voluntary non-profit - Other,TRUE,,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"501 SIXTH AVENUE SOUTH
SAINT PETERSBURG, FL 33701
(27.764249, -82.641012)"
989,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,YAVAPAI,9284452700,Acute Care Hospitals,Government - Local,TRUE,,2,,Below the National average,,Below the National average,,Same as the National average,,Same as the National average,,Below the National average,,Same as the National average,,Same as the National average,,"1003 WILLOW CREEK ROAD
PRESCOTT, AZ 86301
(34.558763, -112.482039)"
990,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Government - Local,TRUE,,3,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"3260 HOSPITAL DR
JUNEAU, AK 99801
(58.328696, -134.466829)"
991,61326,PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,WOODLAND PARK,CO,80863,TELLER,7196879999,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the National average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"16420 HIGHWAY 24
WOODLAND PARK, CO 80863
(38.976387, -105.075222)"
992,100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,DELAND,FL,32720,VOLUSIA,3869434772,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,3,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,Above the National average,,Same as the National average,,Same as the National average,,"701 W PLYMOUTH AVE
DELAND, FL 32720
(29.042613, -81.317205)"
993,100285,MEMORIAL HOSPITAL MIRAMAR,1901 SW 172ND AVE,MIRAMAR,FL,33029,BROWARD,9545384810,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,4,,Same as the National average,,Same as the National average,,Same as the National average,,Above the National average,,Above the National average,,Same as the National average,,Same as the National average,,"1901 SW 172ND AVE
MIRAMAR, FL 33029
(25.991087, -80.376005)"
994,100189,NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,MARGATE,FL,33063,BROWARD,9549740400,Acute Care Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"2801 N STATE RD 7
MARGATE, FL 33063
(26.262862, -80.2019)"
995,10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,TRUE,,,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the National average,,Above the National average,,Not Available,Results are not available for this reporting period,"508 GREEN STREET
GREENSBORO, AL 36744
(32.705571, -87.590753)"
996,100268,WEST BOCA MEDICAL CENTER,21644 STATE RD 7,BOCA RATON,FL,33428,PALM BEACH,5614888000,Acute Care Hospitals,Proprietary,TRUE,,2,,Same as the National average,,Above the National average,,Below the National average,,Below the National average,,Above the National average,,Same as the National average,,Not Available,Results are not available for this reporting period,"21644 STATE RD 7
BOCA RATON, FL 33428
(26.354571, -80.203236)"
997,50746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,SANTA ANA,CA,92705,ORANGE,7149533331,Acute Care Hospitals,Proprietary,TRUE,,1,,Below the National average,,Below the National average,,Same as the National average,,Below the National average,,Above the National average,,Same as the National average,,Same as the National average,,"1001 NORTH TUSTIN AVENUE
SANTA ANA, CA 92705
(33.753636, -117.834209)"
